Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/06  08:10:00,20.3,1.0,116.0,74.48,152.87999438484093 
 03/06  08:20:00,20.9,0.6,109.0,85.2,189.84476893751122 
 03/06  08:30:00,21.9,0.0,79.0,94.7,226.89052126456897 
 03/06  08:40:00,22.8,0.6,102.0,104.0,266.9387574404241 
 03/06  08:50:00,23.1,0.7,162.0,111.1,305.0673070102568 
 03/06  09:00:00,23.4,1.2,184.0,118.4,342.7747536727867 
 03/06  09:10:00,23.8,0.9,170.0,125.6,383.1881653431168 
 03/06  09:20:00,24.0,0.9,178.0,134.1,426.4994731938465 
 03/06  09:30:00,24.6,1.4,204.0,142.2,468.79648043307003 
 03/06  09:40:00,24.0,1.1,157.0,149.7,510.5857104602717 
 03/06  09:50:00,25.0,1.3,195.0,161.0,543.3006775856318 
 03/06  10:00:00,25.0,1.8,239.0,172.2,584.5593715836906 
 03/06  10:10:00,24.2,1.5,197.0,166.9,576.9601816031656 
 03/06  10:20:00,24.9,1.6,198.0,169.5,645.1824099652592 
 03/06  10:30:00,24.4,2.1,151.0,172.3,681.949844958865 
 03/06  10:40:00,25.9,1.8,168.0,175.1,707.6672817323449 
 03/06  10:50:00,26.1,1.5,182.0,176.9,739.2135873831253 
 03/06  11:00:00,26.5,1.6,116.0,176.6,769.1607003847001 
 03/06  11:10:00,26.8,1.1,140.0,176.0,797.3012350596515 
 03/06  11:20:00,27.7,1.2,95.0,175.7,823.4327395889329 
 03/06  11:30:00,27.7,1.3,134.0,175.5,845.4490867688187 
 03/06  11:40:00,26.8,1.0,187.0,177.7,860.4330977977047 
 03/06  11:50:00,27.7,2.0,175.0,177.9,884.7811322491771 
 03/06  12:00:00,27.1,1.9,176.0,174.8,889.9127252839667 
 03/06  12:10:00,29.1,1.0,178.0,171.4,893.208433029502 
 03/06  12:20:00,28.9,1.5,98.0,167.6,894.5552200055456 
 03/06  12:30:00,28.9,1.4,96.0,167.9,898.4431226370815 
 03/06  12:40:00,28.7,2.1,91.0,171.4,903.9652563544627 
 03/06  12:50:00,28.4,1.5,131.0,175.8,908.8174854330184 
 03/06  13:00:00,29.5,2.6,125.0,192.1,923.9992111531458 
 03/06  13:10:00,29.3,1.5,229.0,211.6,909.1036520990237 
 03/06  13:20:00,30.0,1.1,148.0,218.1,920.0919768008434 
 03/06  13:30:00,30.7,1.9,160.0,214.6,893.0003176181942 
 03/06  13:40:00,30.2,2.3,159.0,206.8,911.0575064782454 
 03/06  13:50:00,30.2,2.7,181.0,200.7,903.6316086648835 
 03/06  14:00:00,30.8,1.7,202.0,190.3,882.841937719342 
 03/06  14:10:00,29.7,2.0,207.0,172.9,853.560700421495 
 03/06  14:20:00,30.7,2.7,126.0,159.7,827.0110463470799 
 03/06  14:30:00,30.7,2.0,191.0,152.1,804.6190758053906 
 03/06  14:40:00,31.0,2.0,194.0,147.5,783.8140119263583 
 03/06  14:50:00,31.2,2.2,210.0,144.7,763.4275787398367 
 03/06  15:00:00,31.4,1.9,210.0,140.1,739.8946501112028 
 03/06  15:10:00,30.5,2.6,145.0,133.9,713.4526990429073 
 03/06  15:20:00,32.1,1.7,187.0,128.2,686.2421062304766 
 03/06  15:30:00,32.2,2.5,154.0,124.4,659.7059890195854 
 03/06  15:40:00,32.8,1.7,191.0,119.8,631.1902796485687 
 03/06  15:50:00,32.6,2.6,144.0,116.9,603.2436257775039 
 03/06  16:00:00,32.8,2.7,156.0,114.0,574.2178364601801 
 03/06  16:10:00,33.3,2.7,138.0,111.1,544.1675506890696 
 03/06  16:20:00,34.0,1.4,147.0,105.9,510.85074795812295 
 03/06  16:30:00,34.1,2.5,173.0,100.5,476.429100588565 
 03/06  16:40:00,33.7,2.6,133.0,95.5,441.56844640835465 
